time 	curr	srvc	payld	bdw	NoC	InPort	target_router
5371	0	33	1	5	2	W	0
5468	0	14	2	2	1	L	0
5468	256	14	2	2	1	L	0
5470	0	14	2	2	1	E	0
5478	0	19	2	2	2	L	8192
5617	0	24	8	60	3	W	0
5686	0	29	4	4	2	L	0
5691	0	19	2	2	2	L	8192
5703	0	14	2	2	1	L	0
5831	0	24	8	63	3	W	0
5903	0	29	4	4	2	L	256
5905	256	29	4	4	2	W	256
5908	0	19	2	2	2	L	8192
5922	256	14	2	2	1	L	0
5924	0	14	2	2	1	E	0
6045	0	24	8	63	3	W	0
6117	0	29	4	4	2	L	0
6122	0	19	2	2	2	L	8192
6134	0	14	2	2	1	L	0
6260	0	24	8	62	3	W	0
6331	0	29	4	4	2	L	256
6333	256	29	4	4	2	W	256
6336	0	19	2	2	2	L	8192
6350	256	14	2	2	1	L	0
6352	0	14	2	2	1	E	0
6477	0	24	8	60	3	W	0
6546	0	29	4	4	2	L	0
6551	0	19	2	2	2	L	8192
6563	0	14	2	2	1	L	0
6691	0	24	8	60	3	W	0
6760	0	29	4	4	2	L	256
6762	256	29	4	4	2	W	256
6765	0	19	2	2	2	L	8192
6779	256	14	2	2	1	L	0
6781	0	14	2	2	1	E	0
6905	0	24	8	63	3	W	0
6977	0	29	4	4	2	L	0
6982	0	19	2	2	2	L	8192
6994	0	14	2	2	1	L	0
7120	0	24	8	63	3	W	0
7192	0	29	4	4	2	L	256
7194	256	29	4	4	2	W	256
7197	0	19	2	2	2	L	8192
7211	256	14	2	2	1	L	0
7213	0	14	2	2	1	E	0
7337	0	24	8	60	3	W	0
7406	0	29	4	4	2	L	0
7411	0	19	2	2	2	L	8192
7423	0	14	2	2	1	L	0
7551	0	24	8	60	3	W	0
7620	0	29	4	4	2	L	256
7622	256	29	4	4	2	W	256
7625	0	19	2	2	2	L	8192
7639	256	14	2	2	1	L	0
7641	0	14	2	2	1	E	0
7766	0	24	8	63	3	W	0
7838	0	29	4	4	2	L	0
7843	0	19	2	2	2	L	8192
7855	0	31	2	2	1	L	0
7980	0	24	8	63	3	W	0
8052	0	29	4	4	2	L	256
8054	256	29	4	4	2	W	256
8057	0	19	2	2	2	L	8192
8071	256	31	2	2	1	L	0
8073	0	31	2	2	1	E	0
8192	0	24	8	60	3	W	0
8261	0	29	4	4	2	L	0
8266	0	29	4	4	2	L	256
8269	256	29	4	4	2	W	256
8289	0	31	2	2	1	L	0
8297	256	31	2	2	1	L	0
8299	0	31	2	2	1	E	0
8299	0	29	4	4	2	L	0
8309	0	29	4	4	2	L	256
8311	256	29	4	4	2	W	256
8327	0	31	2	2	1	L	0
8337	0	19	2	2	2	L	8192
8339	256	31	2	2	1	L	0
8341	0	31	2	2	1	E	0
8475	0	24	8	62	3	W	0
8546	0	29	4	4	2	L	0
8551	0	29	4	4	2	L	256
8554	256	29	4	4	2	W	256
8579	0	31	2	2	1	L	0
8587	256	31	2	2	1	L	0
8589	0	31	2	2	1	E	0
8589	0	29	4	4	2	L	0
8599	0	29	4	4	2	L	256
8601	256	29	4	4	2	W	256
8619	0	31	2	2	1	L	0
8629	0	19	2	2	2	L	8192
